Type    ,PID       ,Description                        ,50FA      ,300M      
Scalar  ,KVEFF_1   ,fuel ve cid multiplier             ,30723.00  ,35641.00  
Scalar  ,NLM_CL    ,rev limit                          ,5000.00   ,5500.00   
Scalar  ,SPLCLP    ,spark min allowed                  ,5.00      ,0.00      
Scalar  ,DRBASE    ,Idle drive                         ,600       ,624       
Scalar  ,NUBASE    ,Idle neutral                       ,600       ,664       
Scalar  ,ALOSL     ,Fuel - Injector Low Slope          ,19.6555   ,24.1925   
Function,FN331A    ,fuel accel enrichment vs tprel     ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,***       ,***       ,12.70     ,12.92     ,13.04     ,13.15     ,13.27     ,13.27     ,***       ,***       
        ,         ,                                  ,***       ,***       ,12.58     ,12.70     ,12.92     ,13.04     ,***       ,13.15     ,13.15     ,13.15     
        ,         ,                                  ,***       ,***       ,12.47     ,12.58     ,12.70     ,***       ,13.27     ,***       ,***       ,***       
        ,         ,                                  ,
Table   ,FN1328    ,fuel table base mpg                ,
        ,         ,                                  ,50FA
        ,         ,                                  ,13.153125308454,13.4962503165007,13.8393753245473,13.9537503272295,14.1825003325939,14.2968753352761,14.4112503379583,14.5256253406405,14.6400003433228,14.6400003433228
        ,         ,                                  ,13.0387503057718,13.3818753138185,13.7250003218651,13.8393753245473,13.9537503272295,14.1825003325939,14.2968753352761,14.5256253406405,14.6400003433228,14.6400003433228
        ,         ,                                  ,12.9243753030896,13.2675003111362,13.4962503165007,13.6106253191829,13.7250003218651,13.9537503272295,14.1825003325939,14.2968753352761,14.5256253406405,14.5256253406405
        ,         ,                                  ,12.6956252977252,13.0387503057718,13.2675003111362,13.4962503165007,13.6106253191829,13.7250003218651,13.9537503272295,14.1825003325939,14.2968753352761,14.2968753352761
        ,         ,                                  ,12.4668752923608,12.8100003004074,13.153125308454,13.2675003111362,13.3818753138185,13.4962503165007,13.7250003218651,13.9537503272295,14.1825003325939,14.1825003325939
        ,         ,                                  ,12.1237502843142,12.581250295043,12.9243753030896,13.0387503057718,13.153125308454,13.2675003111362,13.4962503165007,13.7250003218651,13.9537503272295,13.9537503272295
        ,         ,                                  ,12.0093752816319,12.4668752923608,12.6956252977252,12.9243753030896,13.0387503057718,13.153125308454,13.2675003111362,13.4962503165007,13.7250003218651,13.7250003218651
        ,         ,                                  ,11.8950002789497,12.3525002896786,12.581250295043,12.6956252977252,12.8100003004074,12.9243753030896,13.153125308454,13.2675003111362,13.2675003111362,13.2675003111362
        ,         ,                                  ,
        ,         ,                                  ,300M
        ,         ,                                  ,13.95     ,13.95     ,13.95     ,***       ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     
        ,         ,                                  ,13.95     ,13.95     ,13.95     ,13.95     ,***       ,13.95     ,14.07     ,14.30     ,14.30     ,14.30     
        ,         ,                                  ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,***       ,14.07     ,14.53     ,***       ,***       
        ,         ,                                  ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,14.18     ,14.53     ,14.53     ,14.53     
        ,         ,                                  ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,14.18     ,14.30     ,14.30     ,14.30     
        ,         ,                                  ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,14.18     ,14.07     ,14.07     
        ,         ,                                  ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.50     ,13.50     ,13.73     ,***       ,***       
        ,         ,                                  ,13.95     ,13.95     ,13.95     ,13.95     ,13.95     ,13.50     ,13.50     ,13.61     ,13.61     ,13.61     
        ,         ,                                  ,
Table   ,FN1306    ,fuel table cold startup enrichment ,
        ,         ,                                  ,50FA
        ,         ,                                  ,5.83312513679266,5.37562512606382,5.0325001180172,4.68937510997057,4.00312509387732,3.31687507778406,2.5162500590086,1.83000004291534,0.800625018775463,0.800625018775463
        ,         ,                                  ,4.23187509924173,3.88875009119511,3.43125008046627,2.97375006973743,2.28750005364418,1.94437504559755,0.915000021457672,0.800625018775463,0.457500010728836,0.457500010728836
        ,         ,                                  ,3.66000008583069,3.31687507778406,2.63062506169081,2.28750005364418,1.83000004291534,1.2581250295043,0.686250016093254,0.457500010728836,0         ,0         
        ,         ,                                  ,2.74500006437302,2.40187505632639,1.94437504559755,1.71562504023314,1.2581250295043,0.915000021457672,0.571875013411045,0.343125008046627,0         ,0         
        ,         ,                                  ,2.05875004827976,1.83000004291534,1.60125003755093,1.2581250295043,0.915000021457672,0.686250016093254,0.343125008046627,0         ,0         ,0         
        ,         ,                                  ,1.37250003218651,1.2581250295043,0.915000021457672,0.800625018775463,0.686250016093254,0.571875013411045,0.228750005364418,0         ,0         ,0         
        ,         ,                                  ,0.800625018775463,0.800625018775463,0.686250016093254,0.571875013411045,0.571875013411045,0.228750005364418,0         ,0         ,0         ,0         
        ,         ,                                  ,0.571875013411045,0.457500010728836,0.343125008046627,0.343125008046627,0.114375002682209,0         ,0         ,0         ,0         ,0         
        ,         ,                                  ,
        ,         ,                                  ,300M
        ,         ,                                  ,5.60      ,5.60      ,5.26      ,***       ,3.20      ,2.75      ,2.06      ,1.49      ,0.92      ,0.92      
        ,         ,                                  ,5.26      ,5.03      ,4.35      ,3.55      ,***       ,2.06      ,1.14      ,0.69      ,0.57      ,***       
        ,         ,                                  ,4.69      ,4.35      ,3.32      ,2.06      ,1.37      ,0.92      ,***       ,***       ,0.34      ,0.34      
        ,         ,                                  ,4.35      ,3.66      ,3.09      ,1.49      ,0.92      ,0.69      ,0.34      ,0.00      ,***       ,***       
        ,         ,                                  ,3.55      ,2.97      ,2.63      ,1.14      ,0.69      ,0.46      ,0.00      ,***       ,***       ,***       
        ,         ,                                  ,2.63      ,2.17      ,1.49      ,0.92      ,0.57      ,0.00      ,0.00      ,***       ,***       ,***       
        ,         ,                                  ,1.94      ,1.49      ,0.92      ,0.34      ,0.00      ,0.00      ,***       ,***       ,***       ,***       
        ,         ,                                  ,1.49      ,1.03      ,0.57      ,0.00      ,0.00      ,***       ,***       ,***       ,***       ,***       
        ,         ,                                  ,
Table   ,FN1320    ,fuel ve table                      ,
        ,         ,                                  ,50FA
