ET,AEFUEL,FINJ_MULT,KAMRF1,LAMBSE1,PWOFF,ISCDTY,ISCTMR,EGRFLO,SAF,SAFTOT,IEGO1,BP,MPG_MODE,RPM,VSS,AD_CHANNEL_VCAL,AD_CHANNEL_TAR,AD_CHANNEL_BAT,AD_CHANNEL_OCC,AD_CHANNEL_TP,AD_CHANNEL_ACT,AD_CHANNEL_ECT,AD_CHANNEL_NDS,AD_CHANNEL_IEGO,28C,28D,28E,ACT,ECT,ATMR1,ATMR2,ATMR3,APT,RATCH,TAR,TP_REL,VBAT,LOAD_FUEL,LOAD_VE,MAP,VE,OLFLG,WOTFLG,0x93,0xA3,0x26,0xBD,0xDC,0x2C4,0x1DE,0xB7,0x40,0x1A,0x3C,0x21C,0x9C,0x15C,LTFT1,LTFT2,STFT1,STFT2,HP,TQ,IMPG,MPG,DIST,INJDC1,INJDC2,GEAR,AFR_Error,Marker
67.493,0,1.3125,1,0.905919471,273,28.2867438,0,0,1.75,1.5,1018,29.875,4,714,0,512,343,439,1,226,340,524,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.875,0.5390625,0.5390625,16.25,0,12,0,132,11,54,43,25,0,0,56,64,168,53,14464,3211,32,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.535,0,1.3125,1,0.905919471,273,28.170777,0,0,1.5,1.5,1019,29.875,4,718,0,512,343,432,1,226,340,525,0,1019,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,12,0.5390625,0.5390625,16.125,0,12,0,132,10,54,43,25,0,0,56,64,168,15,14464,3218,31,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.575,0,1.3125,1,0.905919471,273,28.170777,0,0,1.5,1.5,1019,29.875,4,718,0,512,343,432,1,226,340,525,0,1019,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,12,0.5390625,0.5390625,16.125,0,12,0,132,10,54,43,25,0,0,56,64,168,15,14464,3218,31,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.615,0,1.3125,1,0.905919471,273,28.170777,0,0,1.5,1.25,1018,29.875,4,698,0,512,343,438,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.8125,0.5390625,0.5390625,16.125,0,12,0,132,10,54,43,25,0,0,56,64,168,15,14464,3103,37,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.655,0,1.28125,1,0.905919471,266,28.170777,0,0,2.25,2.25,1018,29.875,4,700,0,512,347,439,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.5390625,16.25,0,12,0,132,11,54,43,25,0,0,56,64,168,15,14464,3160,36,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.694,0,1.28125,1,0.905919471,266,28.170777,0,0,2.25,2.25,1018,29.875,4,700,0,512,347,439,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.5390625,16.25,0,12,0,132,11,54,43,25,0,0,56,64,168,15,14464,3147,35,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.734,0,1.3125,1,0.905919471,273,28.170777,0,0,1.75,1.75,1018,29.875,4,703,0,512,343,431,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.5390625,16.25,0,12,0,132,10,54,43,25,0,0,56,64,168,15,14464,3147,35,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.774,0,1.3125,1,0.905919471,273,28.170777,0,0,1.75,1.75,1018,29.875,4,703,0,512,343,431,1,226,340,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.5390625,16.25,0,12,0,132,10,54,43,25,0,0,56,64,168,15,14464,3147,35,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.814,0,1.28125,1,0.905919471,266,28.170777,0,0,1.25,1.25,1018,29.875,4,739,0,512,347,439,1,226,339,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.5390625,16.125,0,12,0,132,11,54,43,25,0,0,56,64,168,15,14464,3345,26,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.856,0,1.3125,1,0.905919471,273,28.170777,0,0,1.25,1.25,1019,29.875,4,731,0,512,343,437,1,226,339,525,0,1019,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.5390625,16.125,0,12,0,132,10,54,43,26,0,0,56,64,168,15,14464,3351,26,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
